date_time,count,speed1,speed2
2020-06-01 00:00:00,42,74.5,73
2020-06-01 00:15:00,46,73,74
2020-06-01 00:30:00,50,75.5,76
2020-06-01 00:45:00,34,77,80
2020-06-01 01:00:00,29,81,80
2020-06-01 01:15:00,18,76.5,78
2020-06-01 01:30:00,22,79.5,77.5
2020-06-01 01:45:00,26,71,75
2020-06-01 02:00:00,16,76.5,81.5
2020-06-01 02:15:00,18,83.5,76
2020-06-01 02:30:00,8,71,74
2020-06-01 02:45:00,7,80,79
2020-06-01 03:00:00,11,71,74
2020-06-01 03:15:00,12,76.5,76
2020-06-01 03:30:00,9,70,75
2020-06-01 03:45:00,6,79.5,77.5
2020-06-01 04:00:00,8,77.5,80
2020-06-01 04:15:00,8,82.5,79
2020-06-01 04:30:00,13,76,81
2020-06-01 04:45:00,12,82.5,83.5
2020-06-01 05:00:00,12,86,82.5
2020-06-01 05:15:00,6,75,82
2020-06-01 05:30:00,25,84,82
2020-06-01 05:45:00,30,81.5,81
2020-06-01 06:00:00,38,81,78
2020-06-01 06:15:00,65,77,74
2020-06-01 06:30:00,65,73,72
2020-06-01 06:45:00,106,72,72
2020-06-01 07:00:00,96,71,72
2020-06-01 07:15:00,103,73,73
2020-06-01 07:30:00,111,73,72
2020-06-01 07:45:00,89,70,71
2020-06-01 08:00:00,150,71,70
2020-06-01 08:15:00,125,69,68
2020-06-01 08:30:00,171,67,69
2020-06-01 08:45:00,125,72,70
2020-06-01 09:00:00,121,67,66
2020-06-01 09:15:00,154,65,66
2020-06-01 09:30:00,149,67,68
2020-06-01 09:45:00,158,69,68
2020-06-01 10:00:00,167,67,68
2020-06-01 10:15:00,141,68,65
2020-06-01 10:30:00,138,62.5,65
2020-06-01 10:45:00,142,69,68
2020-06-01 11:00:00,120,67,68
2020-06-01 11:15:00,127,69,69
2020-06-01 11:30:00,160,69,69
2020-06-01 11:45:00,155,70,67
2020-06-01 12:00:00,133,66,68
2020-06-01 12:15:00,134,70,70
2020-06-01 12:30:00,133,70,70
2020-06-01 12:45:00,176,70,70
2020-06-01 13:00:00,123,70,69.5
2020-06-01 13:15:00,147,69,70
2020-06-01 13:30:00,134,70,71
2020-06-01 13:45:00,147,72,71
2020-06-01 14:00:00,134,70.5,71
2020-06-01 14:15:00,118,71,72
2020-06-01 14:30:00,116,73,72
2020-06-01 14:45:00,101,69,68
2020-06-01 15:00:00,112,68,70
2020-06-01 15:15:00,128,71,69
2020-06-01 15:30:00,149,67,68
2020-06-01 15:45:00,112,68,68
2020-06-01 16:00:00,73,69,69
2020-06-01 16:15:00,101,69,70
2020-06-01 16:30:00,121,72,72
2020-06-01 16:45:00,108,72,71
2020-06-01 17:00:00,100,70,69
2020-06-01 17:15:00,162,68.5,67
2020-06-01 17:30:00,155,66,67
2020-06-01 17:45:00,97,68,67
2020-06-01 18:00:00,75,65,62
2020-06-01 18:15:00,56,58,61
2020-06-01 18:30:00,113,62,60
2020-06-01 18:45:00,118,54.5,52.5
2020-06-01 19:00:00,80,45.5,44
2020-06-01 19:15:00,39,42,47.5
2020-06-01 19:30:00,39,56,59.5
2020-06-01 19:45:00,73,60,64
2020-06-01 20:00:00,68,66.5,67
2020-06-01 20:15:00,77,68,68
2020-06-01 20:30:00,71,68,69
2020-06-01 20:45:00,74,69.5,69
2020-06-01 21:00:00,78,68.5,69
2020-06-01 21:15:00,123,70,70
2020-06-01 21:30:00,98,69,68.5
2020-06-01 21:45:00,104,68,68
2020-06-01 22:00:00,96,68,69
2020-06-01 22:15:00,89,70,70.5
2020-06-01 22:30:00,105,72,71
2020-06-01 22:45:00,97,71,72
2020-06-01 23:00:00,93,73,75
2020-06-01 23:15:00,92,75.5,76
2020-06-01 23:30:00,58,76,75
2020-06-01 23:45:00,53,74,75
2020-06-02 00:00:00,51,76,77
2020-06-02 00:15:00,53,77,75
2020-06-02 00:30:00,42,73.5,73
2020-06-02 00:45:00,37,73,76.5
2020-06-02 01:00:00,19,79,79
2020-06-02 01:15:00,29,79,79
2020-06-02 01:30:00,28,79.5,76
2020-06-02 01:45:00,33,74,75.5
2020-06-02 02:00:00,23,78,78.5
2020-06-02 02:15:00,19,80,79.5
2020-06-02 02:30:00,17,79,75
2020-06-02 02:45:00,11,75,72
2020-06-02 03:00:00,18,71,72.5
2020-06-02 03:15:00,16,75,78
2020-06-02 03:30:00,5,79,79
2020-06-02 03:45:00,15,79,80
2020-06-02 04:00:00,10,82.5,82
2020-06-02 04:15:00,8,82,81
2020-06-02 04:30:00,7,78,79
2020-06-02 04:45:00,16,79,80
2020-06-02 05:00:00,14,82.5,82
2020-06-02 05:15:00,19,82,81.5
2020-06-02 05:30:00,23,80,82
2020-06-02 05:45:00,26,83.5,82
2020-06-02 06:00:00,55,79,76
2020-06-02 06:15:00,50,75,74
2020-06-02 06:30:00,80,73,72
2020-06-02 06:45:00,93,71,70
2020-06-02 07:00:00,104,69,70.5
2020-06-02 07:15:00,122,72,70.5
2020-06-02 07:30:00,108,70,71
2020-06-02 07:45:00,91,73,74
2020-06-02 08:00:00,117,75,73
2020-06-02 08:15:00,121,71,71
2020-06-02 08:30:00,127,71,70
2020-06-02 08:45:00,129,68,67
2020-06-02 09:00:00,174,67,67
2020-06-02 09:15:00,144,66,66
2020-06-02 09:30:00,166,66,67
2020-06-02 09:45:00,150,69,71
2020-06-02 10:00:00,157,71,71
2020-06-02 10:15:00,126,70,65
2020-06-02 10:30:00,154,61,64
2020-06-02 10:45:00,142,66.5,66.5
2020-06-02 11:00:00,178,66.5,66
2020-06-02 11:15:00,209,65,66
2020-06-02 11:30:00,159,66,68
2020-06-02 11:45:00,139,72,70
2020-06-02 12:00:00,145,68,70
2020-06-02 12:15:00,151,71,69
2020-06-02 12:30:00,190,67,68
2020-06-02 12:45:00,172,71,71
2020-06-02 13:00:00,138,70,71
2020-06-02 13:15:00,165,71,71
2020-06-02 13:30:00,181,70,70
2020-06-02 13:45:00,89,68,70
2020-06-02 14:00:00,148,70.5,71
2020-06-02 14:15:00,188,71,71
2020-06-02 14:30:00,165,71,70
2020-06-02 14:45:00,131,68,69
2020-06-02 15:00:00,148,69,69
2020-06-02 15:15:00,163,69,69
2020-06-02 15:30:00,87,71,72
2020-06-02 15:45:00,103,72,72
2020-06-02 16:00:00,111,72,73
2020-06-02 16:15:00,83,73,74
2020-06-02 16:30:00,83,74,74
2020-06-02 16:45:00,112,72,73
2020-06-02 17:00:00,93,74,74
2020-06-02 17:15:00,133,73,73
2020-06-02 17:30:00,103,74,73
2020-06-02 17:45:00,90,73,72
2020-06-02 18:00:00,94,70,70
2020-06-02 18:15:00,83,69,69
2020-06-02 18:30:00,104,69,71
2020-06-02 18:45:00,112,73,73
